Source	Target	Weigth
ARVID JÄRNEFELT	Vihtori Kosonen	2
ARVID JÄRNEFELT	Eino Leino	2
Henrik Wiktor Merisaari	Johan Nurminen	2
Henrik Wiktor Merisaari	Johan Urho Rantala	2
Henrik Wiktor Merisaari	Wäinö Sigfrid Forsströmin	2
Henrik Wiktor Merisaari	Juho Anders Ahlgrenin	2
Henrik Wiktor Merisaari	Johan Kauppinen	2
Henrik Wiktor Merisaari	Jaakko Kallio	2
Henrik Wiktor Merisaari	Kalle Kantola	2
Henrik Wiktor Merisaari	Juho Myntti	2
Henrik Wiktor Merisaari	Kaarlo Niininen	2
Henrik Wiktor Merisaari	Kaarle Kustaa Grönbergin	2
Henrik Wiktor Merisaari	Karl Saaristo	2
Henrik Wiktor Merisaari	Isak Lehtinen	2
Henrik Wiktor Merisaari	Otto Sallinen	2
Henrik Wiktor Merisaari	Johan Alfred Mäkipää	2
Henrik Wiktor Merisaari	Richard Lindroosin	2
Henrik Wiktor Merisaari	Kalle Jäntti	2
Henrik Wiktor Merisaari	Wilho Aaltonen	2
Henrik Wiktor Merisaari	Kustaa Wilhelm Palmu	2
Henrik Wiktor Merisaari	Niklas Wirtasen	2
Henrik Wiktor Merisaari	Johan Arthur Taimi	2
Henrik Wiktor Merisaari	Matti Veijalainen	2
Henrik Wiktor Merisaari	Hjalmar Nieminen	2
Henrik Wiktor Merisaari	Juho Kustaa Rantanen	2
Henrik Wiktor Merisaari	Kustaa Emil Aaltonen	2
Henrik Wiktor Merisaari	Jooseppi Rajala	2
Henrik Wiktor Merisaari	Wäinö Heikki Hakkarainen	2
Henrik Wiktor Merisaari	Tuomas Piispa Ursin	2
Henrik Wiktor Merisaari	Wilhelm Jaakkola	2
Henrik Wiktor Merisaari	Juho Nestor Nurmi	2
Henrik Wiktor Merisaari	Juho Taawi Tuoda	2
Henrik Wiktor Merisaari	Juho Oskar Jokinen	2
Aksel Frisk	Ida Haapala	2
Aksel Frisk	Kalle Sinivuori	2
Aksel Frisk	Robert Turunen	2
Hilma Rantanen	Y. Sirola	2
Hilma Rantanen	Maria Laine	2
Hilma Rantanen	Jalmari Joutsi	2
Hilma Rantanen	Kaarlo Nissinen	2
Hilma Rantanen	Tyyne Halme	2
