Source	Target	Weigth
Kaarlo Gustaf	Viktor Saarinen	10
Anselm Helenius	Antero Kotka	10
Abel Halme	August Voutilainen	10
Abel Halme	Oskar Antikainen	10
G. Piipponen	Koistinen Nurmes	10
Jalmari Tyynelä	Otto Nylund	10
ARVID JÄRNEFELT	Kaapro Jääskeläinen	10
ARVID JÄRNEFELT	Wolter Kilpi	10
Kaarlo Lojander	Kaarlo Rönneberg	10
Ester Peltonen	Ingeborg Maria	10
Hjalmar Helenius	Walter Brotherus	10
Johan Kauppinen	Juho Kustaa Rantanen	10
Johan Kauppinen	Wilhelm Jaakkola	10
Johan Kauppinen	Juho Oskar Jokinen	10
Johan Kauppinen	Jooseppi Rajala	10
Hanna Varis	Tiihonen Minna	10
Armas Lindgren	Otto Nylund	10
Armas Lindgren	Emil Halonen	10
Armas Nikolai Soini	Otto Sallinen	10
Armas Nikolai Soini	Henrik Filppulan	10
Irjö Sirola	Juhani Aho	10
Ellen Suomela	Maria Lalhlo	10
Olga Helander Vik	Suoma Henriksson	10
Tuomas Piispa Ursin	Wilhelm Jaakkola	10
Joonas Lagus	Z. Topelius	10
Juho Myntti	Tuomas Piispa Ursin	10
Juho Myntti	Kustaa Wilhelm Palmu	10
Juho Kaskinen	Selim Liipola	10
Johan Urho Rantala	Viktor Saarinen	10
Johan Urho Rantala	Kustaa Wilhelm Palmu	10
Aino Malmberg	Eino Leino	10
August Oikarinen	Kustaa Wilhelm Palmu	10
August Oikarinen	Wilhelm Jaakkola	10
August Oikarinen	Viktor Saarinen	10
August Oikarinen	Johan Arthur Taimi	10
Hilja Pärssinen	Wäinö Jokinen	10
Hilja Pärssinen	Väinö Voionmaa	10
Hilja Pärssinen	Rope Kojonen	10
Hilja Pärssinen	W. Hytönen	10
Aksel Hintikan	Konstantin Sutelan	10
Anders Johan Forsman	Frans Heikki Forssellin	10
Anders Johan Forsman	Wäinö Heikki Hakkarainen	10
Anders Johan Forsman	Kustaa Wilhelm Palmu	10
Anders Johan Forsman	Johan Kauppinen	10
Elis Saxen	Klas Werner	10
Elis Saxen	Ukko Emil Hjalmar Andersin	10
Herman Asikainen	Matti Veijalainen	10
