Source	tags	party	district
Hilja Pärssinen	Uusi Suometar;Työmies	SDP	Viipurin läänin läntinen
Richard Lindroosin	Uusi Suometar;Työmies		
AXEL R.	Helsingin Sanomat		
Aatto Siren	Työmies	SDP	Uudenmaan läänin
Peräläinen J.	Työmies		
Ossian Fohström	Helsingin Sanomat		
H. Kokko	Helsingin Sanomat		
Sandra Tuupaisen	Helsingin Sanomat		
Jaakko Markkula	Uusi Suometar		
Wäinö Salminen	Uusi Suometar		
ARVID JÄRNEFELT	Uusi Suometar;Helsingin Sanomat;Työmies		
H. Erkko	Helsingin Sanomat		
Henrik Filppulan	Uusi Suometar;Työmies		
Lars Sonck	Helsingin Sanomat		
Kalle Riikola	Helsingin Sanomat		
Juho Kustaa Rantanen	Uusi Suometar;Työmies		
Ernst Wrede	Helsingin Sanomat		
Robert Kajanuksen	Uusi Suometar;Työmies		
Irene Renvall	Uusi Suometar;Helsingin Sanomat		
Onni Talas	Helsingin Sanomat;Työmies		
Josef Hymander	Helsingin Sanomat		
Eliel Saarinen	Helsingin Sanomat		
Wilhelm Rot	Helsingin Sanomat		
Anna-Lisa Pettersson	Helsingin Sanomat		
Selim Palmgren	Uusi Suometar;Helsingin Sanomat;Työmies		
Ester Sofia Andersin	Uusi Suometar		
Amanda Andersson	Työmies		
Emmi Kolehmainen	Työmies		
William Rajala	Työmies		
Juliette Lind	Helsingin Sanomat		
Vihtori Salmi	Työmies		
Erik Alopaeus	Työmies		
Hilda Herrala	Helsingin Sanomat		
Jenny Nyberg	Uusi Suometar		
Signe Kolthoff	Uusi Suometar;Työmies		
Karl Marx	Työmies		
Naema Ericson	Helsingin Sanomat		
Karl Alfred Mattsson	Työmies		
Magnus Enckell	Helsingin Sanomat		
Eero Erkko	Uusi Suometar;Helsingin Sanomat;Työmies	Nuor.	Uudenmaan läänin
Rosa Emilia Laine	Uusi Suometar		
Jarl Lindberg	Helsingin Sanomat		
Edvard Toth	Työmies		
Ella Lilius	Helsingin Sanomat		
Karl Wilh	Työmies		
Petter Parviainen	Uusi Suometar		
Antti Jalava	Työmies		
Yrjö Sirola	Työmies	SDP	Hämeen läänin pohjoinen
Kaarlo Niininen	Uusi Suometar;Työmies		
Hämeenlinna Joh.	Uusi Suometar		
Matilda von	Helsingin Sanomat		
Niklas Wirtasen	Työmies		
Aino Keinänen	Helsingin Sanomat		
Bertha Roos	Uusi Suometar		
Ebba Gisico	Helsingin Sanomat		
Johannes Lundson	Helsingin Sanomat		
Olga Ström	Työmies		
Wäinö Heik	Työmies		
Herman Michelsson	Uusi Suometar		
Oscar Carlsson	Helsingin Sanomat		
Kari Marx	Työmies		
Veikko Korhonen	Työmies		
Väinö Blomstedt	Uusi Suometar		
Carl Lindvall	Helsingin Sanomat		
Otto Nurminen	Uusi Suometar		
Otto Karhi	Uusi Suometar;Helsingin Sanomat	SML	Oulun läänin eteläinen
Armas Lindgren	Uusi Suometar;Helsingin Sanomat		
Juho Rissanen	Työmies		
Anna Hjorth	Helsingin Sanomat		
Nestori Telkkä	Työmies		
Matti Helenius-Seppälä	Työmies		
Bertha Corander	Uusi Suometar;Helsingin Sanomat		
Ida Kanth	Työmies		
Pietari Päivärinta	Työmies		
Alexander Frey	Helsingin Sanomat		
Ester Peltonen	Uusi Suometar		
Ellen Borenius	Helsingin Sanomat		
Artur Bergström	Helsingin Sanomat		
Ida Aalbergin	Uusi Suometar		
Wikeström Turo	Helsingin Sanomat		
Aino Joki	Helsingin Sanomat;Työmies		
Heino Kaski	Uusi Suometar;Työmies		
Ilona Jalava	Uusi Suometar;Helsingin Sanomat		
Mary von Haartman	Uusi Suometar;Helsingin Sanomat		
Henrik Wiktor Merisaari	Työmies		
Heikki Tandefelt	Uusi Suometar;Työmies		
Oskar Merikanto	Uusi Suometar;Helsingin Sanomat;Työmies		
Erkki Melartin	Uusi Suometar;Helsingin Sanomat;Työmies		
Walter Herlin	Helsingin Sanomat;Työmies		
Aleksander Rosenberg	Työmies		
Martti Nuori	Uusi Suometar		
Ellen Ahlqvist	Helsingin Sanomat		
Leo Ehrnrooth	Työmies	RKP	Uudenmaan läänin
Hilma Söderholm	Työmies		
Kustaa Emil Murto	Työmies		
Allan Serlachius	Uusi Suometar;Helsingin Sanomat		
Hasse de	Helsingin Sanomat		
Hilda Närhi	Työmies		
Hilma Kaunisto	Työmies		
Otto Tuominen	Työmies		
Hulda Sofia	Uusi Suometar		
Irene Mendelin	Helsingin Sanomat		
Kalle Heinonen	Työmies		
Frans Lehtonen	Helsingin Sanomat		
Ossian Sivén	Helsingin Sanomat		
Johan Nurminen	Uusi Suometar;Työmies		
Henrit Werner	Työmies		
Tilda Örnberg	Työmies		
Artur Hiisi	Uusi Suometar		
Ida Sepponen	Työmies		
Hilma Nyström	Työmies		
G. Renvall	Helsingin Sanomat		
Kalle Jäntti	Uusi Suometar;Työmies		
Aksel Frlsk	Työmies		
Hugo Simberg	Helsingin Sanomat		
Helena Slrkln	Helsingin Sanomat		
Elli Helander	Työmies		
Kustavi Grotenjelt	Helsingin Sanomat		
Kirsti Suonio	Uusi Suometar		
A. Ojaperä	Helsingin Sanomat		
Augusta Meriläinen	Helsingin Sanomat		
Julius Ailio	Työmies		
Karl Edvard Öhrnberg	Uusi Suometar		
Salomon Kaukonen	Uusi Suometar		
Juhani Aho	Uusi Suometar;Helsingin Sanomat;Työmies		
Kyösti Kallio	Uusi Suometar;Helsingin Sanomat	SML	Oulun läänin eteläinen
Sissi Sironen	Työmies		
Mauri Hailea	Uusi Suometar		
Oskar Kingelinin	Uusi Suometar		
Hjalmar Ekholm	Helsingin Sanomat		
Hellberg Toijala	Helsingin Sanomat		
Ida Aalberg	Uusi Suometar		
Alma Luhtala	Työmies		
Matti Virtanen	Helsingin Sanomat		
Ester Sjöholm	Työmies		
Victor Ek	Uusi Suometar;Helsingin Sanomat		
Wilhelm Brummer	Helsingin Sanomat		
NILS NORELL	Helsingin Sanomat		
Oskari RntaneiL	Helsingin Sanomat		
Helga Sailo	Uusi Suometar;Työmies		
Lauri Ingman	Uusi Suometar	Suom.	Turun läänin pohjoinen
Abel Halme	Uusi Suometar;Työmies		
Amanda Wilhelmina Danielsson	Uusi Suometar		
Tilda Öhrnberg	Työmies		
Artur Hilden	Uusi Suometar		
Satu- Jussi	Työmies		
