Source	Target	Weigth
Juho Tulikoura	Taneli Nykänen	2
Kaarle Helin	Wäinö Heikki Hakkarainen	2
Kaarle Helin	Viktor Saarinen	2
Kaarle Helin	Oskar Kingelinin	2
Kaarle Helin	Richard Lindroosin	2
Kaarle Helin	Kalle Jäntti	2
Kaarle Krohn	Vihtori Peltonen	2
Artur Hiisi	Otto Tanner	2
Artur Hiisi	Paawo Paloheimo	2
Artur Hiisi	Valde Hirvikanna	2
Artur Hiisi	Hämeenlinna Johm	2
Artur Hiisi	Hämeenlinna Joh.	2
Tekla Hult	Valter Parwiainen	2
Anna Söderholm	Dagmar Henriksson	2
Anna Söderholm	Jenny Nyberg	2
Anna Söderholm	Ingrid Holmberg	2
Anna Söderholm	Esther Malmström	2
Juho AnderS Ahlgren	Vihtori Eloranta	2
Bertha Boos	Niilo Helander	2
Bertha Boos	Georg Jensen	2
Bertha Boos	Mary von Haartman	2
Aino Kallas	Hilja Haahti	2
Helga Sailo	Wäinö Mäkinen	2
Helga Sailo	Selim Palmgren	2
Johan Wilhelm Dahl	Wilhelmina Korhonen	2
Henrik Filppulan	Wäinö Heikki Hakkarainen	2
Henrik Filppulan	Oskar Kingelinin	2
Henrik Filppulan	Isak Lehtinen	2
Henrik Filppulan	Richard Lindroosin	2
Henrik Filppulan	Kaarle Helin	2
Henrik Filppulan	Kaarlo Niininen	2
Henrik Filppulan	Kalle Jäntti	2
Henrik Filppulan	Jaakko Kallio	2
Henrik Filppulan	Johan Alfred Mäkipää	2
Henrik Filppulan	Johan Arthur Taimi	2
Henrik Filppulan	Otto Sallinen	2
Henrik Filppulan	Juho Kustaa Rantanen	2
Henrik Filppulan	Kalle Kantola	2
Henrik Filppulan	Oskar Antikainen	2
Henrik Filppulan	Kustaa Emil Aaltonen	2
Henrik Filppulan	Herman Asikainen	2
Richard Lindroosin	Wäinö Heikki Hakkarainen	2
Leo Tolstoi	Volter Kilpi	2
Jaakko Markkula	Maria Vaittinen	2
Jaakko Markkula	Karl Edvard Öhrnberg	2
Ilona Jalava	Väinö Blomstedt	2
Anders Johan Forsman	Wäinö Heikki Hakkarainen	2
Anders Johan Forsman	Emil Artur Bergström	2
Anders Johan Forsman	Oskar Kingelinin	2
Anders Johan Forsman	Isak Lehtinen	2
Anders Johan Forsman	Richard Lindroosin	2
Anders Johan Forsman	Emanuel Nurmi	2
Anders Johan Forsman	Frans Heikki Forssellin	2
Anders Johan Forsman	Kaarle Helin	2
Anders Johan Forsman	Arthur Ferdinand Ikäheimonen	2
Anders Johan Forsman	Kaarlo Niininen	2
Anders Johan Forsman	Kalle Jäntti	2
Anders Johan Forsman	Jaakko Kallio	2
Anders Johan Forsman	Johan Alfred Mäkipää	2
Anders Johan Forsman	Johan Arthur Taimi	2
Anders Johan Forsman	Otto Sallinen	2
Anders Johan Forsman	Kalle Kantola	2
Anders Johan Forsman	Oskar Antikainen	2
Anders Johan Forsman	Juho Kustaa Rantanen	2
Anders Johan Forsman	Henrik Filppulan	2
Anders Johan Forsman	Kustaa Emil Aaltonen	2
Anders Johan Forsman	Herman Asikainen	2
Hämeenlinna Johm	Otto Tanner	2
Aukusti Hiltula	Kaarlo Heini	2
Aukusti Hiltula	Juho Tulikoura	2
Helmi Tähtinen	Olga Salo	2
Ingrid Holmberg	Jenny Nyberg	2
A. Grotenfelt	Kaarle Krohn	2
Kaarlo Bergbom	Kaarlo Bergbomin	2
August Voutilainen	Isak Lehtinen	2
August Voutilainen	Juho Myntti	2
August Voutilainen	Johan Kauppinen	2
August Voutilainen	Emanuel Nurmi	2
August Voutilainen	Kaarle Helin	2
August Voutilainen	Kaarlo Niininen	2
August Voutilainen	Jaakko Kallio	2
August Voutilainen	Isak Kalliomäki	2
August Voutilainen	Otto Sallinen	2
August Voutilainen	Oskar Antikainen	2
August Voutilainen	Kustaa Emil Aaltonen	2
August Voutilainen	Kalle Kantola	2
August Voutilainen	Johannes Kaipainen	2
Allan Serlachius	Victor Ek	2
Allan Serlachius	Jalo Järnefelt	2
Minna Canth	Valter Juva	2
Juho Myntti	Kaarle Helin	2
Juho Myntti	Kaarlo Niininen	2
Juho Myntti	Oskar Antikainen	2
Juho Myntti	Kustaa Emil Aaltonen	2
Juho Myntti	Kalle Kantola	2
Heikki Rcnwall	Teodor Homen	2
Heikki Rcnwall	Tekla Hult	2
Heikki Rcnwall	Valter Parwiainen	2
Emil Artur Bergström	Oskar Kingelinin	2
Emil Artur Bergström	Richard Lindroosin	2
Emil Artur Bergström	Frans Heikki Forssellin	2
Emil Artur Bergström	Juho Myntti	2
Emil Artur Bergström	Johan Nurminen	2
Emil Artur Bergström	Wäinö Heikki Hakkarainen	2
Emil Artur Bergström	Johan Arthur Taimi	2
Emil Artur Bergström	Juho Kustaa Rantanen	2
Emil Artur Bergström	Vihtori Eloranta	2
Emil Artur Bergström	Herman Asikainen	2
Emil Artur Bergström	Jaakko Kallio	2
Emil Artur Bergström	Isak Lehtinen	2
Emil Artur Bergström	Kaarle Helin	2
Emil Artur Bergström	Kaarlo Niininen	2
Emil Artur Bergström	Kalle Jäntti	2
Emil Artur Bergström	Kalle Kantola	2
Emil Artur Bergström	Oskar Antikainen	2
Emil Artur Bergström	Kustaa Emil Aaltonen	2
Emil Artur Bergström	Henrik Filppulan	2
Aleksandra Gripenberg	Hilda Käkikoski	2
Maria Raunio	Miina Sillanpää	2
Alexandra Ahnger	Ilmari Krohn	2
Johannes Kaipainen	Otto Sallinen	2
Johannes Kaipainen	Kalle Kantola	2
Johannes Kaipainen	Oskar Antikainen	2
Johannes Kaipainen	Kustaa Emil Aaltonen	2
Johannes Kaipainen	Juho Myntti	2
Johannes Kaipainen	Kaarle Helin	2
Johannes Kaipainen	Kaarlo Niininen	2
Gerda Lind	Ida Ekman	2
Gerda Lind	Taneli Hurri	2
Gerda Lind	Oskar Merikanto	2
Eugen Wolff	Teodor Homen	2
Eugen Wolff	Heikki Rcnwall	2
Eugen Wolff	Tekla Hult	2
Eugen Wolff	Valter Parwiainen	2
Aapeli Nieminen	Maria Rossi	2
Aapeli Nieminen	Ida Henriksson	2
Hilma Siniluoto	Jalo Erland Anttila	2
Hilma Siniluoto	Hulda Wilhelmina Lindroos	2
Hilma Siniluoto	Ines Alice Lindholm	2
Julia Alina Sjöstedt	Salomon Kaukonen	2
Abel Halme	Juho Myntti	2
Abel Halme	Emil Artur Bergström	2
Abel Halme	Vihtori Eloranta	2
Abel Halme	Jaakko Kallio	2
Abel Halme	Viktor Saarinen	2
Abel Halme	Isak Lehtinen	2
Abel Halme	Emanuel Nurmi	2
Abel Halme	Kaarle Helin	2
Abel Halme	Kaarlo Niininen	2
Abel Halme	Johan Alfred Mäkipää	2
Abel Halme	Hjalmar Nieminen	2
Abel Halme	Kalle Kantola	2
Abel Halme	Oskar Antikainen	2
Abel Halme	Kustaa Emil Aaltonen	2
Johan Arthur Taimi	Oskar Kingelinin	2
Johan Arthur Taimi	Richard Lindroosin	2
Johan Arthur Taimi	Kaarle Helin	2
Johan Arthur Taimi	Kaarlo Niininen	2
Johan Arthur Taimi	Kalle Jäntti	2
Johan Arthur Taimi	Wäinö Heikki Hakkarainen	2
Johan Arthur Taimi	Otto Sallinen	2
Johan Arthur Taimi	Kalle Kantola	2
Johan Arthur Taimi	Oskar Antikainen	2
Johan Arthur Taimi	Juho Kustaa Rantanen	2
Johan Arthur Taimi	Kustaa Emil Aaltonen	2
Jenny Nuotio	Maria Raunio	2
Jenny Nuotio	Miina Sillanpää	2
Jenny Nuotio	Maria Laine	2
Adolf Salonen	Juho Myntti	2
Adolf Salonen	Emil Artur Bergström	2
Adolf Salonen	Johan Nurminen	2
Adolf Salonen	Johan Alfred Mäkipää	2
Adolf Salonen	Otto Sallinen	2
Kirsti Suonio	Olga Salo	2
Kirsti Suonio	Oskari Salo	2
Ester Mathilda Munsterhjelm	Jaakko Markkula	2
Ester Mathilda Munsterhjelm	Karl Edvard Öhrnberg	2
Ester Mathilda Munsterhjelm	Maria Vaittinen	2
Matti Seppälä	Miina Sillanpää	2
Herman Asikainen	Wäinö Heikki Hakkarainen	2
Herman Asikainen	Oskar Kingelinin	2
Herman Asikainen	Isak Lehtinen	2
Herman Asikainen	Richard Lindroosin	2
Herman Asikainen	Kaarle Helin	2
Herman Asikainen	Kaarlo Niininen	2
Herman Asikainen	Kalle Jäntti	2
Herman Asikainen	Jaakko Kallio	2
Herman Asikainen	Johan Alfred Mäkipää	2
Herman Asikainen	Johan Arthur Taimi	2
Herman Asikainen	Otto Sallinen	2
Herman Asikainen	Juho Kustaa Rantanen	2
Herman Asikainen	Kalle Kantola	2
Herman Asikainen	Oskar Antikainen	2
Herman Asikainen	Kustaa Emil Aaltonen	2
Eero Alpi	Simo Kaario	2
Eero Alpi	Kaarle Halme	2
Eero Alpi	Eino Leino	2
Aksel Alanderin	Hilda Käkikoski	2
Dagmar Henriksson	Esther Malmström	2
Dagmar Henriksson	Jenny Nyberg	2
Dagmar Henriksson	Ingrid Holmberg	2
Lauri Mäkinen	Maiju Seppälä	2
Hulda Wilhelmina Lindroos	Jalo Erland Anttila	2
Hulda Wilhelmina Lindroos	Ines Alice Lindholm	2
Fredrika Karttunen	Otto Keto	2
Fredrika Karttunen	Rosa Emilia Laine	2
Fredrika Karttunen	Otto Nurminen	2
Otto Nurminen	Rosa Emilia Laine	2
Kaarle Halme	Otto Kotilainen	2
Kaarle Halme	Mandi Terho	2
Juho Kustaa Wirtanen	Wilhelmina Santala	2
Kusti Salmela	Petter Ahlgren	2
Oskar Kingelinin	Wäinö Heikki Hakkarainen	2
Oskar Kingelinin	Otto Sallinen	2
Oskar Kingelinin	Richard Lindroosin	2
Heino Kaski	Wäinö Mäkinen	2
Oskar Antikainen	Wäinö Heikki Hakkarainen	2
Oskar Antikainen	Oskar Kingelinin	2
Oskar Antikainen	Richard Lindroosin	2
Oskar Antikainen	Viktor Saarinen	2
ARVID JÄRNEFELT	Hilja Haahti	2
Ida Irene Rönn	Johanna Charlotta Oja	2
Ida Irene Rönn	Salomon Kaukonen	2
Ida Irene Rönn	Julia Alina Sjöstedt	2
Otto Tanner	Vilho Selin	2
Jaakko Kallio	Viktor Saarinen	2
Jaakko Kallio	Juho Myntti	2
Jaakko Kallio	Oskar Kingelinin	2
Jaakko Kallio	Richard Lindroosin	2
Jaakko Kallio	Johan Kauppinen	2
Jaakko Kallio	Kalle Jäntti	2
Jaakko Kallio	Wäinö Heikki Hakkarainen	2
Jaakko Kallio	Johan Alfred Mäkipää	2
Jaakko Kallio	Johan Arthur Taimi	2
Jaakko Kallio	Juho Kustaa Rantanen	2
Jaakko Kallio	Johannes Kaipainen	2
Axel Jflgerroos	Petter Parviainen	2
Mimmi Lähdeoja	Olga Salo	2
Mimmi Lähdeoja	Teppo Raikas	2
Juho Laakso	Maria Laine	2
Ida Henriksson	Maria Rossi	2
Aarne Tirronen	Olli Räsänen	2
Aarne Tirronen	Viktor Kujala	2
Armas Järnefelt	Ida Aalberg	2
Armas Järnefelt	Bertha Corander	2
Kalle Jäntti	Wäinö Heikki Hakkarainen	2
Kalle Jäntti	Oskar Antikainen	2
Kalle Jäntti	Oskar Kingelinin	2
Kalle Jäntti	Otto Sallinen	2
Kalle Jäntti	Wilho Aaltonen	2
Kalle Jäntti	Richard Lindroosin	2
Kalle Jäntti	Kalle Kantola	2
Kalle Jäntti	Vihtori Eloranta	2
Kalle Jäntti	Wilhelm Jaakkola	2
Kalle Jäntti	Kustaa Emil Aaltonen	2
Kalle Jäntti	Matti Veijalainen	2
Arthur Sundholmia	EINO VOIONMAA	2
Aleksis Kivi	Paavo Cajander	2
Ida Aalberg	Ida Aalbergin	2
Ida Aalberg	Selim Palmgren	2
Hulda Sofia	Kusti Salmela	2
Hulda Sofia	Petter Ahlgren	2
Kyösti Kallio	Otto Karhi	2
Lauri Ingman	Oskari Laine	2
Lauri Ingman	Taneli Nykänen	2
Jussi Snellman	Kirsti Suonio	2
