to	from	weigth
Axel Gallen	Hilda Flodin	5
Axel Gallen	Hugo Simberg	5
Eino Rautavaara	Eva Lessmann	5
Stella Dina	W:m Beck	5
Axel Holmström	Oskar Hakulin	5
E Ljungberg	Ernst Hedman	5
Anni Swan	Helmi Setälä	5
Alfred Holmström	Helge Hartman	5
Erkki Melartin	Jalmari Hahl	5
Helge Hartman	KUNO ALFTHAN	5
Mary von Haartman	Niilo Helander	5
Evert Suonio	Wilhelm Krag	5
Alexander Frey	Asianajaja Ernst	5
Eero Järnefelt	Hugo Simberg	5
Axel Gallen	Eero Järnefelt	6
Carl Anton	Evelene Lola	6
Alfred Casella	Henri Casadesus	6
Hjalmar Söderberg	Martti Birckin	6
Alexander Frey	John Grenman	6
Hilda Flodin	Hugo Simberg	6
Alfred Casella	Marcel Casadesus	7
Hugo Lilius	NILS NORELL	7
JOHANNES BROFELDT	Wilhelm Rothen	7
Anna Larsson	Fernanda Soretta	8
Karolina Eskelin	Naema Ericson	8
Henri Casadesus	Marcel Casadesus	8
Aleksis Kivi	Hemmo Kallio	9
Fredrik Thuring	William Thuring	9
Alfred Backman	Birger Halia	11
Anna Larsson	Carl Anton	13
Gösta Enckell	Pehr Gadd	16
John Lamus	Rudolf Jack	16
Rudolf Jack	Sigurd Rosenberg	17
Arne Lund	John Lamus	18
Arne Lund	Rudolf Jack	18
Georg Segerstrålen	Helge Hartman	22
Arne Lund	Sigurd Rosenberg	22
John Lamus	Sigurd Rosenberg	22
Fritz Wiik	Otto Tanner	22
Allan Serlachius	Otto Hyyry	24
A. Apostoli	Oscar Carlsson	25
Alexis Gripenberg	Georg Estlander	43
Axel Holmström	Oskar Hakuikä	55
