Source	Target	Weigth
Aino Kallas	Ants Raudjalg	3
Aino Kallas	Hilja Haahti	3
Juho Oskar Viljanen	Selim Palmgren	3
Aino Joki	Lydia Joki	3
A. Lunden	Ernst Hedman	3
Antti Eronen	Kaarlo Tuuli	3
Ernst Lampén	Walter Herlin	3
Gerda Lind	Irene Renvall	3
Gerda Lind	Karl Ekman	3
Inga Heine	Leo Tolstoi	3
Aino Keinänen	Ellinor Ingman	3
Carl Söderström	Ingrid Andersson	3
Armas Järnefelt	Selim Palmgren	3
Armas Järnefelt	Bertha Corander	3
Erik Leander	Johannes Johansson	3
Amalia Zimmermann	Emil Erikson	3
Eino Rautavaara	Robert Kajanus	3
Fritz Wiik	JOHANNES BROFELDT	3
Arvid Grönberg	Eliel Mattila	3
Arvid Grönberg	Erik Byman	3
Maria Niskanen	Matti Ahola	3
Axel Gallen	Magnus Enckell	3
Atle Wilskman	Werner Lindbohm	3
Asianajaja Ernst	John Grenman	3
Aleks Koho	Vilhelm Hackman	3
Aleks Koho	Matti Pieti	3
Aleks Koho	Carl Lindvall	3
Juliette Lind	Vivi Ruotsalainen	3
Artur Krook	Karolina Eskelin	3
Carl Lindvall	Matti Pieti	3
Carl Lindvall	Vilhelm Hackman	3
Alvar Renqvist	Lennart Cajander	3
Alvar Renqvist	August Ramsay	3
Gösta Enckell	Pehr Oadd	3
Walter Herlin	Werner Lindbohm	3
Juhani Aho	Santeri Ingman	3
Albert Veltheim	Antti Eronen	4
Ellen Ahlqvist	Karolina Eskelin	4
Ellen Ahlqvist	Naema Ericson	4
Gabrielle Laulu	Vivi Ruotsalainen	4
JOHANNES BROFELDT	Wilhelm Rotta	4
Jonas Castren	Mikko Knuutila	4
Elin Elmgren	Naema Ericson	4
Hans Estlander	Knut Sundman	4
Arno Lund	John Lamus	4
Arno Lund	Sigurd Rosenberg	4
Axel Cedercrentz	Ellen Ahlqvist	4
Anna Hjorth	Armas Järnefelt	4
Alfred Holmström	Georg Segerstrålen	4
A. Ojaperä	O. Merikanto	4
A. Ojaperä	H. Kokko	4
Kaarlo Brofeldt	Mikael Johnsson	4
Kyösti Kallio	Otto Karhi	4
Georg Segerstrålen	KUNO ALFTHAN	4
Georg Segerstrålen	HELGE HARTHAN	4
H. Kokko	O. Merikanto	4
Eero Järnefelt	Werner Söderhjelm	4
Eero Järnefelt	Hilda Flodin	4
Alli Nissinen	Juho Snellman	4
August Ramsay	Lennart Cajander	4
Georg Jensen	Niilo Helander	4
Georg Jensen	Mary von Haartman	4
Carl Anton	Fernanda Soretta	4
Atle Wilskman	Walter Herlin	4
Matilda von Troil	Robert Blomqvist	4
Agnes Poschner	Oskar Merikanto	4
Matilda von	Robert Blomqvist	4
Juhani Aho	Lucrezia Borg	4
Alexander Frey	Asianajaja Ernst	5
Alfred Holmström	Helge Hartman	5
Axel Holmström	Oskar Hakulin	5
Erkki Melartin	Jalmari Hahl	5
Helge Hartman	KUNO ALFTHAN	5
Stella Dina	W:m Beck	5
Mary von Haartman	Niilo Helander	5
E Ljungberg	Ernst Hedman	5
Eero Järnefelt	Hugo Simberg	5
Evert Suonio	Wilhelm Krag	5
Eino Rautavaara	Eva Lessmann	5
Anni Swan	Helmi Setälä	5
Axel Gallen	Hugo Simberg	5
Axel Gallen	Hilda Flodin	5
Alexander Frey	John Grenman	6
Hilda Flodin	Hugo Simberg	6
Alfred Casella	Henri Casadesus	6
Hjalmar Söderberg	Martti Birckin	6
Carl Anton	Evelene Lola	6
Axel Gallen	Eero Järnefelt	6
JOHANNES BROFELDT	Wilhelm Rothen	7
Hugo Lilius	NILS NORELL	7
Alfred Casella	Marcel Casadesus	7
Karolina Eskelin	Naema Ericson	8
Anna Larsson	Fernanda Soretta	8
Henri Casadesus	Marcel Casadesus	8
Aleksis Kivi	Hemmo Kallio	9
Fredrik Thuring	William Thuring	9
Alfred Backman	Birger Halia	11
Anna Larsson	Carl Anton	13
John Lamus	Rudolf Jack	16
Gösta Enckell	Pehr Gadd	16
Rudolf Jack	Sigurd Rosenberg	17
Arne Lund	Rudolf Jack	18
Arne Lund	John Lamus	18
Arne Lund	Sigurd Rosenberg	22
Georg Segerstrålen	Helge Hartman	22
John Lamus	Sigurd Rosenberg	22
Fritz Wiik	Otto Tanner	22
Allan Serlachius	Otto Hyyry	24
A. Apostoli	Oscar Carlsson	25
Alexis Gripenberg	Georg Estlander	43
Axel Holmström	Oskar Hakuikä	55
